time,following_model_probability,minimum_boundary_clearance_exact,total_ADSI,ASPE_star,ASPEdot_star
0.0,5.551115123126001e-17,135.6098770857,0.05442037103057076,0.7573729915380079,0.009551054827968398
0.1,1.110223024625e-16,134.5817756732,0.054544072686020253,0.7583166321229087,0.009622419956006103
0.2,1.665334536938e-16,133.5538585123,0.054669092839622874,0.7592671427689599,0.009694749227112002
0.3,2.7755575615630003e-16,132.5261298902,0.05479545432428304,0.7602246121925641,0.00976806126886084
0.4,4.996003610813e-16,131.4985942276,0.054923180502953355,0.7611891307032217,0.009842375171021335
0.5,8.326672684689e-16,130.4712560835,0.055052295283711174,0.7621607902387739,0.00991771049934547
0.6,1.443289932013e-15,129.4441201607,0.05518282313533186,0.7631396844016144,0.009994087309824467
0.7,2.386979502944e-15,128.4171913115,0.05531478910334396,0.7641259084952866,0.010071526163432726
0.8,3.941291737419e-15,127.3904745438,0.05544821882660787,0.7651195595618581,0.01015004814137914
0.9,6.550315845288e-15,126.3639750271,0.055583138554511864,0.7661207364214229,0.010229674860879254
1.0,1.076916333886e-14,125.3376980992,0.05571957517859104,0.7671295398090067,0.010310428500053877
1.1,1.765254609154e-14,124.311649273,0.05585755628300178,0.7681460726392771,0.010392331834728883
1.2,2.881028748902e-14,123.2858342436,0.05599710998801545,0.7691704388152537,0.010475408147978964
1.3,4.6851411639179997e-14,122.2602588959,0.056138265168323556,0.7702027446728816,0.010559681370160279
1.4,7.593925488436e-14,121.2349293127,0.056281051403767796,0.7712430985331368,0.010645176055084667
1.5,1.224575996162e-13,120.2098517827,0.05642549900017691,0.7722916107461765,0.01073191739936843
1.6,1.9673151996360003e-13,119.1850328094,0.05657163901092311,0.7733483937366511,0.01081993126247239
1.7,3.147482274812e-13,118.1604791203,0.05671950325922266,0.7744135620509536,0.010909244187410055
1.8,5.014322290719999e-13,117.1361976764,0.05686912436111878,0.7754872324038871,0.010999883422218684
1.9,7.955303082951999e-13,116.1121956827,0.0570205357493214,0.7765695237282371,0.011091876942156572
2.0,1.256938997329e-12,115.0884805982,0.05717377169772605,0.7776605572233765,0.01118525347268454
2.1,1.9777512960670002e-12,114.065060148,0.0573288673469002,0.7787604564071609,0.011280042513266551
2.2,3.099021039787e-12,113.0419423344,0.057485858730318216,0.7798693471674387,0.011376274361991377
2.3,4.835909450662e-12,112.0191354497,0.057644782801481304,0.7809873578147207,0.011473980141061773
2.4,7.515044142536e-12,110.9966480893,0.05780567746203996,0.7821146191371754,0.01157319182320153
2.5,1.1630141294460002e-11,109.9744891655,0.057968581590730206,0.7832512644552357,0.01167394225895326
2.6,1.792427317682e-11,108.9526679223,0.058133535073375285,0.784397429678337,0.011776265204973477
2.7,2.7510604905250003e-11,107.9311939503,0.05830057883385973,0.7855532533628151,0.011880195353288112
2.8,4.204958603538e-11,106.9100772037,0.05846975486609924,0.7867188767698067,0.011985768361607274
2.9,6.400702190490001e-11,105.8893280168,0.05864110626713963,0.7878944439258582,0.012093020884668241
3.0,9.702816328172e-11,104.8689571228,0.05881467727127322,0.7890801016829563,0.012201990606697714
3.1,1.464783294658e-10,103.8489756723,0.05899051328541189,0.7902759997818481,0.012312716275001063
3.2,2.202190652056e-10,102.8293952542,0.05916866092543256,0.7914822909134261,0.012425237734709566
3.3,3.297182527007e-10,101.8102279169,0.059349168053904416,0.7926991307841798,0.012539595964737905
3.4,4.916301254987e-10,100.7914861913,0.05953208381894967,0.7939266781810652,0.012655833114984853
3.5,7.300323678905e-10,99.77318311461,0.059717458986166594,0.7951650968560356,0.012773992739153682
3.6,1.079579592389e-09,98.75533225595,0.05990534539307088,0.7964145519043434,0.012894119445542852
3.7,1.589925913148e-09,97.73794774366,0.0600957960389945,0.797675210173319,0.013016258966590819
3.8,2.331898285579e-09,96.7210442939,0.06028886563087625,0.798947243449923,0.013140458536043483
3.9,3.406070592238e-09,95.70463724117,0.06048461036269728,0.8002308268724888,0.013266766755689312
4.0,4.954614329922e-09,94.68874257072,0.060683087719425925,0.8015261376886993,0.01339523346606805
4.1,7.177597627361e-09,93.67337695303,0.0608843573810262,0.8028333600232614,0.013525910403862244
4.2,1.035529051396e-08,92.65855778041,0.06108847750720699,0.804152662357656,0.013658848686965562
4.3,1.487853984461e-08,91.64430320596,0.0612955133940412,0.805484250502241,0.013794104642453977
4.4,2.128992421246e-08,90.63063218508,0.06150552946863287,0.8068283177834273,0.013931734469816206
4.5,3.033923751117e-08,89.61756451961,0.061718591959262215,0.8081850613644612,0.014071796039781431
4.6,4.305790918258e-08,88.60512090499,0.0619347689518078,0.809554682321332,0.014214348949497755
4.7,6.085831916192e-08,87.5933229804,0.062154130446827695,0.8109373857120956,0.01435945457883187
4.8,8.5665656957e-08,86.58219338241,0.06237674841815752,0.8123333806463932,0.014507176148270138
4.9,1.200920872746e-07,85.57175580219,0.0626026960187781,0.8137428754705263,0.014657578181432485
5.0,1.676656042338e-07,84.56203504664,0.06283205008275997,0.8151660918338518,0.014810728268860486
5.1,2.331291765745e-07,83.5530571038,0.06306487776533037,0.8166031884557448,0.014966687721261368
5.2,3.228297145719e-07,82.54484921272,0.06330125112881443,0.8180543447466819,0.01512552174895055
5.3,4.452211438966e-07,81.53743993842,0.06354127043744018,0.8195198915449026,0.015287315898665993
5.4,6.11511578763e-07,80.53085925204,0.06378502066737696,0.821000063088277,0.015452145619234404
5.5,8.36491368339e-07,79.52513861687,0.06403258920513488,0.8224950980636152,0.015620088639699978
5.6,1.139586783994e-06,78.52031108059,0.06428406591520837,0.8240052396541087,0.015791225038257292
5.7,1.546193437063e-06,77.51641137433,0.06453954320828172,0.8255307355796087,0.015965637312239572
5.8,2.089354271706e-06,76.51347601903,0.06479911610995498,0.8270718381322562,0.016143410448957028
5.9,2.811859248497e-06,75.51154343989,0.06506288232963851,0.8286288042043664,0.016324631997209082
6.0,3.768857657516e-06,74.51065408943,0.0653309423294004,0.8302018953087614,0.016509392139228418
6.1,5.031089354179e-06,73.51085058001,0.06560339939239503,0.8317913775900014,0.016697783762760578
6.2,6.688858010639e-06,72.5121778266,0.06588035969049884,0.8333975218251592,0.01688990253296732
6.3,8.856887523501e-06,71.51468320084,0.06616193235067039,0.8350206034125887,0.017085846963739437
6.4,1.168022171016e-05,70.51841669718,0.06644822951965305,0.8366609023492694,0.017285718487975426
6.5,1.53413469105e-05,69.52343111238,0.06673936503244672,0.8383186943499672,0.01748962060792414
6.6,2.00687364646e-05,68.52978223954,0.06703545659225724,0.8399942661984483,0.01769766023441525
6.7,2.614703445469e-05,67.53752907798,0.06733662122372427,0.8416878882198239,0.017909944606951955
6.8,3.392911255873e-05,66.54673406051,0.06764298970520352,0.8433998898937357,0.018126591820829138
6.9,4.385024711073e-05,65.55746329961,0.06795468992281027,0.8451305723015539,0.018347718707145796
7.0,5.644467203159e-05,64.56978685454,0.06827185121830151,0.846880232053633,0.01857344393093992
7.1,7.236476544598e-05,63.58377902108,0.06859461050973426,0.848649189194766,0.01880389272132798
7.2,9.24031216285e-05,62.59951864641,0.06892310217478471,0.85043773672852,0.019039189330929275
7.3,0.0001175177432787,61.61708326253,0.06925747116998765,0.8522462108461908,0.019279466509804475
7.4,0.0001488605597636,60.63544459901,0.06959786235888318,0.8540749316161951,0.019524857938203712
7.5,0.0001878094325417,59.65387031415,0.06994442395407514,0.8559242219043113,0.01977550068065582
7.6,0.0002360037471797,58.67375125338,0.07029730747706892,0.8577944069974315,0.020031535167258543
7.7,0.000295383609998,57.69572886124,0.07065666769404066,0.8596858141601197,0.02029310515365264
7.8,0.0003682325645106,56.71991159652,0.07102265830719015,0.8615987519301489,0.020560354458916186
7.9,0.0004572236169553,55.74641525877,0.07139543379081018,0.8635335197162035,0.020833428306210603
8.0,0.0005654682104194,54.77536359432,0.07177530395574372,0.8654911013221807,0.02111259348554563
8.1,0.0006965676132138,53.80688896021,0.07216232116676444,0.867471303052586,0.021397918067669445
8.2,0.0008546659900497,52.84113305242,0.07255663147705499,0.8694743504701005,0.021689543030690386
8.3,0.001044504206168,51.87824770509,0.07295840623216443,0.8715005702744326,0.021987629803934542
8.4,0.001271473178119,50.91839576849,0.07336783421458662,0.8735503524287251,0.022292354328577776
8.5,0.001541665335033,49.9617520742,0.07378509122360502,0.8756240184951546,0.022603883099889095
8.6,0.001861922497164,49.00850449677,0.07421035410925717,0.8777218843946996,0.022922384091037445
8.7,0.002239878221939,48.05885512262,0.07464379051503503,0.8798442151288479,0.023248018731174633
8.8,0.002683992420838,47.1130215374,0.07508557959721958,0.8819913208580978,0.023580957814610334
8.9,0.003203575823837,46.17123824493,0.075535856202252,0.8841633238687377,0.0239213369894976
9.0,0.003808801673408,45.23375823162,0.07599480921908819,0.8863605660391539,0.02426933537950953
9.1,0.004510701879759,44.30085469202,0.07646263419885801,0.8885834115745342,0.024625137770623366
9.2,0.005321144775918,43.37282293246,0.0769394935579677,0.8908320870069343,0.024988902486757076
9.3,0.006252791588123,42.44998247134,0.07742554888333902,0.8931068171531231,0.025360787078884717
9.4,0.007319028795785,41.53267935618,0.07792093700747701,0.8954077279811169,0.02574092907298937
9.5,0.008533873706458,40.62128871897,0.07842581111901527,0.8977350296801142,0.02612947801937066
9.6,0.009911850823346,39.71621759278,0.07894030707965087,0.9000888754901782,0.026526568670468282
9.7,0.0114678369414,38.81790801374,0.07946449839610818,0.9024692018287513,0.02693228328338628
9.8,0.01321687337507,37.92684043326,0.07999852365428446,0.9048762072221305,0.02734675661803897
9.9,0.01517394429456,37.04342632101,0.08054245289701503,0.9073098596739694,0.027770065230400924
10.0,0.01735372082083,36.16283717578,0.08109632051911611,0.9097700306082728,0.028202253917680588
10.1,0.01977027129222,35.28684994662,0.08166017535029359,0.9122567062886134,0.028643375503166788
10.2,0.02243673895017,34.4199936913,0.08223400622800141,0.914769697568744,0.02909343018497529
10.3,0.02536498917759,33.56297591489,0.08281791213899636,0.9173092134473481,0.029552509927824988
10.4,0.02856522933599,32.7165697899,0.08341188708104902,0.9198751511960422,0.03002061490349626
10.5,0.0320456051573,31.88162049475,0.08401560201046554,0.9224664531703479,0.030497462574728375
10.6,0.03581177852292,31.05905201266,0.08462893842483059,0.9250828199201407,0.030982945988959728
10.7,0.03986649227404,30.24987435476,0.08525152944867993,0.9277233325315565,0.03147673350721973
10.8,0.04420912841247,29.45519113896,0.08588298323565456,0.9303870486988948,0.031978468418852
10.9,0.04883526664274,28.67620741288,0.08652284564701651,0.9330730365729637,0.032487727077275215
11.0,0.05373625065125,27.91423755256,0.08717052794727798,0.9357800931988869,0.03300395995249444
11.1,0.05889876980163,27.17064906336,0.08782530110061872,0.9385067533047683,0.03352648500248151
11.2,0.06430446404452,26.43578760182,0.08848630116120328,0.9412514345948549,0.03405448413352339
11.3,0.06992955980254,25.71571641496,0.08915247060263765,0.9440122101824618,0.03458695531030845
11.4,0.07574454442562,25.01816290899,0.08982251897059093,0.9467867405263305,0.03512267504150117
11.5,0.08171388656341,24.34506274271,0.09049493198152764,0.9495724259538267,0.03566019832372132
11.6,0.0877958095409,23.69849962662,0.09116794642994704,0.9523661819735249,0.03619784628886761
11.7,0.09394212464838,23.0807038272,0.09184202121198409,0.9551704616516116,0.03673595054562491
11.8,0.1000981312958,22.49404574026,0.09251416511552235,0.9579796573769614,0.0372716868860688
11.9,0.1062025913973,21.93651227385,0.09317859579890611,0.9607818688522322,0.03779966347635339
12.0,0.1121877863442,21.39460384924,0.09383365124534632,0.963576532780503,0.038318148168634186
12.1,0.1179796667341,20.88965324659,0.09447556988040032,0.9663578095522554,0.03882351202900532
12.2,0.1234981079203,20.42521362579,0.09509992395623984,0.9691193443119186,0.03931145031651566
12.3,0.1286572887274,20.00410684224,0.09570129519856714,0.9718533996122009,0.03977669278918627
12.4,0.1333662166472,19.6199186697,0.09627347353367499,0.9745515544190562,0.0402131704984379
12.5,0.1375294307245,18.74178710857,0.0968092659396646,0.9772036383930821,0.04061388046391455
12.6,0.1410479232961,17.87928626372,0.09730027947276529,0.979798009027173,0.040970637160781836
12.7,0.1438203335975,17.03661851944,0.09774008113603161,0.9823188215044518,0.041277608346557984
12.8,0.1457444793901,16.21687589685,0.09811516037145113,0.984755660629059,0.04152108588692298
12.9,0.1467193057651,15.42371411596,0.09841246573820267,0.9870915865596402,0.041688266536834315
13.0,0.1466473405727,14.66144775961,0.09861684919953367,0.9893061308022181,0.04176434186319212
13.1,0.1454377492823,13.92655488854,0.09871169611905298,0.9913777970350411,0.04173300882654311
13.2,0.1430100722497,13.22427061756,0.09867886014757056,0.9932821709845648,0.04157652115797519
13.3,0.1392986959737,12.56888760669,0.09849965192641069,0.9949933769019057,0.041276648204570596
13.4,0.1342580470722,11.96811338401,0.0981556229438019,0.9964847094429473,0.04081546848640964
13.5,0.1278683938641,11.41721029764,0.09762932802158181,0.9977227256185446,0.0401765579622012
13.6,0.1201419901127,10.92637910879,0.09692294846397773,0.9987134774914844,0.03936185086647731
13.7,0.1111291028487,10.51579906033,0.09603493048856682,0.9994381321197194,0.0383708963418975
13.8,0.1009232518525,10.17762291657,0.09494762881861449,0.9998699938648885,0.03718662679438424
13.9,0.08966479470804,9.924272728599,0.09366374394206475,1.0,0.035812493555388035
14.0,0.07754188212379,9.773365807288,0.09218632287541514,0.9998197944714713,0.03425227149694347
14.1,0.0647878578789,9.574445666682,0.09052068866746914,0.9993230449490174,0.032512027628221384
14.2,0.0516744477289,8.650852261036,0.08867384365000196,0.9985037198553052,0.030599596232642187
