time,following_model_probability,minimum_boundary_clearance_exact
0.0,5.551115123126001e-17,135.6098770857
0.1,1.110223024625e-16,134.5817756732
0.2,1.665334536938e-16,133.5538585123
0.3,2.7755575615630003e-16,132.5261298902
0.4,4.996003610813e-16,131.4985942276
0.5,8.326672684689e-16,130.4712560835
0.6,1.443289932013e-15,129.4441201607
0.7,2.3869795029439998e-15,128.4171913115
0.8,3.941291737419e-15,127.3904745438
0.9,6.550315845288e-15,126.3639750271
1.0,1.076916333886e-14,125.3376980992
1.1,1.765254609154e-14,124.311649273
1.2,2.881028748902e-14,123.2858342436
1.3,4.6851411639179997e-14,122.2602588959
1.4,7.593925488436e-14,121.2349293127
1.5,1.2245759961619998e-13,120.2098517827
1.6,1.9673151996359998e-13,119.1850328094
1.7,3.1474822748119997e-13,118.1604791203
1.8,5.014322290719999e-13,117.1361976764
1.9,7.955303082951999e-13,116.1121956827
2.0,1.256938997329e-12,115.0884805982
2.1,1.9777512960670002e-12,114.065060148
2.2,3.099021039787e-12,113.0419423344
2.3,4.835909450662e-12,112.0191354497
2.4,7.515044142536e-12,110.9966480893
2.5,1.1630141294460002e-11,109.9744891655
2.6,1.792427317682e-11,108.9526679223
2.7,2.7510604905250003e-11,107.9311939503
2.8,4.204958603538e-11,106.9100772037
2.9,6.400702190490001e-11,105.8893280168
3.0,9.702816328172e-11,104.8689571228
3.1,1.464783294658e-10,103.8489756723
3.2,2.202190652056e-10,102.8293952542
3.3,3.297182527007e-10,101.8102279169
3.4,4.916301254987e-10,100.7914861913
3.5,7.300323678905e-10,99.77318311461
3.6,1.079579592389e-09,98.75533225595
3.7,1.589925913148e-09,97.73794774366
3.8,2.331898285579e-09,96.7210442939
3.9,3.406070592238e-09,95.70463724117
4.0,4.954614329922e-09,94.68874257072
4.1,7.177597627361e-09,93.67337695303
4.2,1.035529051396e-08,92.65855778041
4.3,1.487853984461e-08,91.64430320596
4.4,2.128992421246e-08,90.63063218508
4.5,3.033923751117e-08,89.61756451961
4.6,4.305790918258e-08,88.60512090499
4.7,6.085831916192e-08,87.5933229804
4.8,8.5665656957e-08,86.58219338241
4.9,1.200920872746e-07,85.57175580219
5.0,1.676656042338e-07,84.56203504664
5.1,2.331291765745e-07,83.5530571038
5.2,3.228297145719e-07,82.54484921272
5.3,4.452211438966e-07,81.53743993842
5.4,6.11511578763e-07,80.53085925204
5.5,8.36491368339e-07,79.52513861687
5.6,1.139586783994e-06,78.52031108059
5.7,1.546193437063e-06,77.51641137433
5.8,2.089354271706e-06,76.51347601903
5.9,2.811859248497e-06,75.51154343989
6.0,3.768857657516e-06,74.51065408943
6.1,5.031089354179e-06,73.51085058001
6.2,6.688858010639e-06,72.5121778266
6.3,8.856887523501e-06,71.51468320084
6.4,1.168022171016e-05,70.51841669718
6.5,1.53413469105e-05,69.52343111238
6.6,2.00687364646e-05,68.52978223954
6.7,2.614703445469e-05,67.53752907798
6.8,3.392911255873e-05,66.54673406051
6.9,4.385024711073e-05,65.55746329961
7.0,5.644467203159e-05,64.56978685454
7.1,7.236476544598e-05,63.58377902108
7.2,9.24031216285e-05,62.59951864641
7.3,0.0001175177432787,61.61708326253
7.4,0.0001488605597636,60.63544459901
7.5,0.0001878094325417,59.65387031415
7.6,0.0002360037471797,58.67375125338
7.7,0.000295383609998,57.69572886124
7.8,0.0003682325645106,56.71991159652
7.9,0.0004572236169553,55.74641525877
8.0,0.0005654682104194,54.77536359432
8.1,0.0006965676132138,53.80688896021
8.2,0.0008546659900497,52.84113305242
8.3,0.001044504206168,51.87824770509
8.4,0.001271473178119,50.91839576849
8.5,0.001541665335033,49.9617520742
8.6,0.001861922497164,49.00850449677
8.7,0.002239878221939,48.05885512262
8.8,0.002683992420838,47.1130215374
8.9,0.003203575823837,46.17123824493
9.0,0.003808801673408,45.23375823162
9.1,0.004510701879759,44.30085469202
9.2,0.005321144775918,43.37282293246
9.3,0.006252791588123,42.44998247134
9.4,0.007319028795785,41.53267935618
9.5,0.008533873706458,40.62128871897
9.6,0.009911850823346,39.71621759278
9.7,0.0114678369414,38.81790801374
9.8,0.01321687337507,37.92684043326
9.9,0.01517394429456,37.04342632101
10.0,0.01735372082083,36.16283717578
10.1,0.01977027129222,35.28684994662
10.2,0.02243673895017,34.4199936913
10.3,0.02536498917759,33.56297591489
10.4,0.02856522933599,32.7165697899
10.5,0.0320456051573,31.88162049475
10.6,0.03581177852292,31.05905201266
10.7,0.03986649227404,30.24987435476
10.8,0.04420912841247,29.45519113896
10.9,0.04883526664274,28.67620741288
11.0,0.05373625065125,27.91423755256
11.1,0.05889876980163,27.17064906336
11.2,0.06430446404452,26.43578760182
11.3,0.06992955980254,25.71571641496
11.4,0.07574454442562,25.01816290899
11.5,0.08171388656341,24.34506274271
11.6,0.0877958095409,23.69849962662
11.7,0.09394212464838,23.0807038272
11.8,0.1000981312958,22.49404574026
11.9,0.1062025913973,21.93651227385
12.0,0.1121877863442,21.39460384924
12.1,0.1179796667341,20.88965324659
12.2,0.1234981079203,20.42521362579
12.3,0.1286572887274,20.00410684224
12.4,0.1333662166472,19.6199186697
12.5,0.1375294307245,18.74178710857
12.6,0.1410479232961,17.87928626372
12.7,0.1438203335975,17.03661851944
12.8,0.1457444793901,16.21687589685
12.9,0.1467193057651,15.42371411596
13.0,0.1466473405727,14.66144775961
13.1,0.1454377492823,13.92655488854
13.2,0.1430100722497,13.22427061756
13.3,0.1392986959737,12.56888760669
13.4,0.1342580470722,11.96811338401
13.5,0.1278683938641,11.41721029764
13.6,0.1201419901127,10.92637910879
13.7,0.1111291028487,10.51579906033
13.8,0.1009232518525,10.17762291657
13.9,0.08966479470804,9.924272728599
14.0,0.07754188212379,9.773365807288
14.1,0.0647878578789,9.574445666682
14.2,0.0516744477289,8.650852261036
14.3,0.03850058830953,7.727258855389
14.4,0.02557743394007,6.803665449742
14.5,0.01321081086506,5.880072044095
14.6,0.001682979563158,4.956478638448
14.7,0.0,4.032885232802
14.8,0.0,3.109291827155
14.9,0.0,2.196724834839
15.0,0.0,1.442220510186
15.1,0.0,1.2
15.2,0.0,1.2
15.3,0.0,1.2
15.4,0.0,1.2
15.5,0.0,1.2
15.6,0.0,1.36
15.7,0.0,2.06455806409
15.8,0.0,2.97294466817
15.9,0.0,3.946846842734
16.0,0.0,4.947726750741
16.1,0.0,5.962013082844
16.2,0.0,6.757543932525
16.3,0.0,6.969677180473
16.4,0.0,7.32472525082
16.5,0.0,7.80320446996
16.6,0.0,8.384008587782
16.7,0.0,9.047452680175
16.8,0.0,9.776727468842
16.9,0.0,10.55820060427
17.0,0.0,11.38112472474
17.1,0.0,12.23714018879
17.2,0.0,13.11977133947
17.3,0.0,13.73981077017
17.4,0.0,14.24814373875
17.5,0.0,14.81215716903
17.6,0.0,15.4257447146
17.7,0.0,16.08323350574
17.8,0.0,16.77946363863
17.9,0.0,17.50981439079
18.0,0.0,18.27019430657
18.1,0.0,19.05700920921
18.2,0.0,19.86711856309
18.3,0.0,20.69778732135
18.4,0.0,21.54663778876
18.5,0.0,22.41160413714
18.6,0.0,23.29089092328
18.7,0.0,24.18293613274
18.8,0.0,25.08637877415
18.9,0.0,26.00003076921
19.0,0.0,26.92285274632
19.1,0.0,27.85393329496
19.2,0.0,28.79247123816
19.3,0.0,29.73776050748
19.4,0.0,30.68917724541
19.5,0.0,31.64616880445
19.6,0.0,32.6082443563
19.7,0.0,33.57496686521
19.8,0.0,34.5459462166
19.9,0.0,35.52083332356
20.0,0.0,36.49931506207
20.1,0.0,37.48110990886
20.2,0.0,38.46596417614
20.3,0.0,39.45364875395
20.4,0.0,40.44395628521
20.5,0.0,41.4366987102
20.6,0.0,42.43170512718
20.7,0.0,43.4288199241
20.8,0.0,44.42790114331
20.9,0.0,45.42881904694
21.0,0.0,46.43145485552
21.1,0.0,47.43569963646
21.2,0.0,48.44145332254
21.3,0.0,49.44862384334
21.4,0.0,50.45712635496
21.5,0.0,51.46688255568
21.6,0.0,52.47782007668
21.7,0.0,53.48987193853
21.8,0.0,54.50297606553
21.9,0.0,55.5170748509
22.0,0.0,56.53211476674
22.1,0.0,57.54804601374
22.2,0.0,58.56482220583
22.3,0.0,59.58240008593
22.4,0.0,60.60073926942
22.5,0.0,61.61980201202
22.6,0.0,62.63955299968
22.7,0.0,63.65995915801
22.8,0.0,64.68098947914
22.9,0.0,65.70261486425
23.0,0.0,66.72480798024
23.1,0.0,67.74754312888
23.2,0.0,68.77079612743
23.3,0.0,69.79454419939
23.4,0.0,70.81876587459
23.5,0.0,71.84344089755
23.6,0.0,72.86855014339
23.7,0.0,73.8940755406
23.8,0.0,74.92
23.9,0.0,75.94630734934
24.0,0.0,76.972982273
24.1,0.0,78.00001025641
24.2,0.0,79.02737753462
24.3,0.0,80.05507104488
24.4,0.0,81.08307838261
24.5,0.0,82.11138776077
24.6,0.0,83.13998797209
24.7,0.0,84.16886835404
24.8,0.0,85.19801875631
24.9,0.0,86.22742951057
25.0,0.0,87.25709140236
25.1,0.0,88.28699564489
25.2,0.0,89.3171338546
25.3,0.0,90.34749802845
25.4,0.0,91.37808052263
25.5,0.0,92.40887403275
25.6,0.0,93.43987157525
