item,value
alpha,0.06
E_ref,516.4152141159
T_ref_s,1.0
peak_total_ADSI,0.0987116961190529
peak_time_s,13.1
following_peak_probability,0.1467193057651
following_peak_time_s,12.9
minimum_boundary_clearance_m,1.2
